AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
1,Wine,Other Catogory,1000 STORIES ZINFANDEL 2020   -750M,750ML,82896001453,12,17.99,Horizon Signature,0,No,12,1000STORIESZINFANDEL2020,82896001453,82126,
2,Liquor,Bourbon,10th Mountain Bourbon - 750ML,750ML,868250000009,6,54.99,Baystate,806010,No,,10th Mountain Bourbon,,,
3,Liquor,Rye Whiskey,10th Mountain Rye - 750ML,750ML,868250000016,6,44.99,Baystate,805090,No,,10th Mountain Rye,,,
4,Liquor,Cordials & Liqueurs,12 Ouzo - 750ML,750ML,721059087506,12,19.99,Horizon Premium,0,No,12,12 Ouzo,,,
5,Wine,Other Catogory,13 CELSIUS SAUV BLANC 2021    -750M,750ML,81308003405,12,11.99,Horizon Signature,0,No,36,13CELSIUSSAUVBLANC2021,81308003405,51834,
6,Wine,Cabernet,14 Hands Cab Sauv - 750ML,750ML,88586001895,12,15.99,MSWalker,404622,No,12,14 Hands Cab Sauv,,,
7,Wine,Red Blend,14 Hands Hot to Trot Red - 750ML,750ML,88586004483,12,13.99,MSWalker,404628,No,12,14 Hands Hot to Trot Red,,,
8,Wine,Merlot,14 Hands Merlot - 750ML,750ML,88586001772,12,18.99,MSWalker,404624,No,12,14 Hands Merlot,,,
9,Wine,Red Blend,14 Hands Run Wild - 750ML,750ML, ,12,13.99,MSWalker,404615,No,12,14 Hands Run Wild,,,
10,Wine,Sauv Blanc,14 Hands Sauv Blanc - 750ML,750ML,88586006876,12,12.99,MSWalker,404611,No,12,14 Hands Sauv Blanc,,,
11,Wine,Red Blend,14 Hands Stampede Red Win - 750ML,750ML,88586007682,12,13.99,MSWalker,404623,No,12,14 Hands Stampede Red Win,,,
12,Beer,Craft,14 Star Maple Bkst Stout - 4 Pack,4 Pack,859619005001,4,14.99,Craft Brewers,0,No,,14 Star Maple Bkst Stout,,,
13,Beer,Craft,14th Star Follow Me IPA - 4 Pack,4 Pack,859619005223,4,14.99,Craft Brewers,0,No,,14th Star Follow Me IPA,,,
14,Beer,Craft,14th Star Tribute - 4 Pack,4 Pack,859619005018,4,15.99,Craft Brewers,0,No,,14th Star Tribute,,,
15,Liquor,Bourbon,1792 Bottle In Bond - 750ML,750ML,88004027971,6,99.99,United,0,No,,1792 Bottle In Bond,,,
16,Liquor,Bourbon,1792 Bourbon 12 YR - 750ML,750ML,88004030711,6,99.99,United,350673,No,,1792 Bourbon 12 YR,,,
17,Liquor,Bourbon,1792 Full Proof - 750ML,750ML,80660001159,6,54.99,United,350690,No,,1792 Full Proof,,,
18,Liquor,Bourbon,1792 Single Barrel - 750ML,750ML,80660001142,6,54.99,United,350533,No,,1792 Single Barrel,,,
19,Liquor,Bourbon,1792 Small Batch Bourbon - 750ML,750ML,80660001203,6,29.99,United,350113,No,6,1792 Small Batch Bourbon,,,
20,Liquor,Bourbon,1792 Sweet Wheat - 750ML,750ML,80660001166,6,79.99,United,350133,No,,1792 Sweet Wheat,,,
21,Liquor,Other Catogory,1800 ANEJO TEQUILA 80' 6/CS - 750ML,750ML,811538010030,6,52.99,United,760003,No,6,1800 ANEJO TEQUILA 80' 6/CS,811538010030,,
22,Liquor,Tequila,1800 Coconut - 1.75L,1.75L,811538010405,6,42.99,United,760011,No,12,1800 Coconut,,,
